event,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant,split,original,neg_cue,neg_cue_type
PersonX asks PersonY nothing,"[""none"", ""none""]","[""none"", ""none"", ""respected"", ""grateful""]","[""none"", ""to ask what is happening"", ""to inquire with other people"", ""none""]","[""independent"", ""sure of themselves"", ""quiet"", ""bashful"", ""content"", ""complacent"", ""quiet"", ""timid""]","[""none"", ""none""]","[""none"", ""none"", ""to avoid what persony has to say"", ""to respect persony's boundaries""]","[""to refrain from speaking"", ""to have no questions"", ""none"", ""none""]","[""bored"", ""disinterested"", ""confortable"", ""at ease"", ""private"", ""indpendent"", ""anxious"", ""cautious""]","[""to learn on their own"", ""to discover the answer themself"", ""to do their own work"", ""be alone"", ""to keep their mouth shut"", ""to sing as a distraction"", ""to stay quiet"", ""to hold his peace""]",trn,PersonX asks PersonY anything,nothing,single_word
PersonX gives PersonY no tips,"[""none"", ""No money"", ""Poor morale"", ""frowns"", ""smirks"", ""none""]","[""none"", ""cheated out what they are owed"", ""disrespected at work"", ""none""]","[""none"", ""confront the patron"", ""continue working"", ""to get money"", ""to be paid"", ""wonder what they did wrong"", ""tell colleagues about no tipping""]","[""cheap"", ""frugal"", ""greedy"", ""ungenerous"", ""cheap"", ""rude"", ""mean"", ""selfless""]","[""none"", ""gets complained at"", ""gets looked down on"", ""none""]","[""none"", ""to punish bad service"", ""to cheap out"", ""none""]","[""none"", ""to have received service from person y"", ""to be at a restaurant"", ""none"", ""receiving service from PersonY"", ""conclude receiving service from PersonY""]","[""selfish"", ""mean"", ""stingy"", ""justified because of the bad service"", ""jelous"", ""lonely"", ""secretive"", ""selfish""]","[""to go out"", ""to ask sorry to personY"", ""complain to the manager"", ""go home"", ""to be cheap"", ""to be rude"", ""to avoid being noticed by PersonY"", ""leave quickly""]",trn,PersonX gives PersonY some tips,no,single_word
PersonX unties PersonY's hair,"[""person y in loose hair"", ""person y loved by person x"", ""frowns"", ""smiles"", ""gets a new hairstyle"", ""gets compliments"", ""none""]","[""thankful"", ""appreciative"", ""none"", ""excited"", ""beautiful"", ""thankful"", ""relieved"", ""loved""]","[""to accept the other's help"", ""to sit with personX"", ""to look good"", ""to be happy"", ""to lean in for a hug"", ""to give a whistle"", ""to stay still"", ""to shake their head""]","[""thoughtless"", ""impulsive"", ""hairdresse"", ""helpful"", ""obnoxious"", ""displeasing"", ""romantic"", ""touchy-feely""]","[""none"", ""thanked"", ""slapped"", ""gets thanked"", ""gets paid"", ""none""]","[""to help person y"", ""to be closer to person y"", ""none"", ""to groom PersonY"", ""to give PersonY a new style"", ""to help PersonY get ready for bed"", ""to comb PersonY's hair""]","[""find personY"", ""know how to untie hair"", ""none"", ""to undo the knot"", ""to find the ribbon"", ""to grab the tie"", ""to move to PersonY""]","[""beneficial"", ""nurturing"", ""helpful"", ""kind"", ""creative"", ""skilled"", ""helpful"", ""happy"", ""aroused""]","[""talk to personY"", ""help personY with hair"", ""to let the hair flow"", ""see what it looks like down"", ""to kiss them"", ""to tell them they look like a princess"", ""to put the tie away"", ""to fix the hair""]",trn,PersonX ties PersonY's hair,untie,affixes_verb
PersonX spends less money,"[""none"", ""none""]","[""none"", ""none""]","[""none"", ""none""]","[""thrifty"", ""responsible"", ""cheap"", ""thriving"", ""frugal"", ""anxious"", ""responsible"", ""careful""]","[""none"", ""thinks about the savings"", ""thinks about what to spend savings on"", ""does very little"", ""continues not caring"", ""gets more money saved"", ""gets looked up to for being frugal""]","[""To show they can"", ""To be responsible"", ""to save"", ""to be thrifty"", ""to save for vacation"", ""to buy a new car"", ""none""]","[""none"", ""to overdraw his bank account"", ""to lose his job"", ""none""]","[""Frugal"", ""Responsible"", ""Grown up"", ""smart"", ""capable"", ""thrifty"", ""happy"", ""careful""]","[""to save money for more important expenses"", ""to not have partner be angry with them"", ""to get a new job"", ""save more money"", ""to be debt free"", ""to buy a car"", ""to save money up"", ""to follow a budget""]",trn,PersonX spends more money,less,affixes_adj
PersonX displeases PersonY's partner,"[""gets mad at PersonX"", ""fights with PersonX"", ""none"", ""loses a friend"", ""gets confused"", ""is offended"", ""shakes in rage""]","[""sad"", ""angry"", ""anger"", ""frustration"", ""incensed"", ""provoked"", ""vexed"", ""indignant""]","[""none"", ""sulk"", ""be mad"", ""to tell PersonX off"", ""to go away from PersonX"", ""to get an apology"", ""to break up friendship""]","[""off-putting"", ""iconoclastic"", ""objectionable"", ""unpleasant"", ""hurtful"", ""unfriendly"", ""rude"", ""impolite""]","[""quarrels with PersonY"", ""fights with PersonY"", ""none"", ""tries to figure it out"", ""is rude to relatives"", ""gets punched"", ""gets yelled at""]","[""none"", ""to get back at person y"", ""to insult the partner"", ""none"", ""to get back at PersonY"", ""to make PersonY's partner angry""]","[""none"", ""to say something offensive"", ""to meet up with PersonY's partner"", ""to know PersonY's partner"", ""to have a disagreement""]","[""sad"", ""angry"", ""contempt"", ""haughty"", ""insufficient"", ""guilty"", ""satisfied"", ""full of themself""]","[""to provide goods"", ""to clear things"", ""find out what happened"", ""apologize"", ""bring gifts"", ""to apologize"", ""to make an excuse"", ""to make amends""]",trn,PersonX pleases PersonY's partner,displease,affixes_verb
PersonX displeases PersonX's father,"[""gets confronted"", ""loses a child"", ""none"", ""none""]","[""ashamed"", ""disappointed"", ""annoyed"", ""none""]","[""none"", ""prevent the behavior in the future"", ""voice their feelings"", ""to yell at PersonX"", ""to kick PersonX out""]","[""willful"", ""threatening"", ""angry"", ""apologetic"", ""repentant"", ""upset"", ""unmotivated"", ""rebellious"", ""independent""]","[""gets in trouble"", ""gets disowned"", ""none"", ""thinks of atoning for his mistake"", ""stresses about his relationship with his dad"", ""gets yelled at"", ""gets argued with""]","[""none"", ""none""]","[""none"", ""do something upsetting"", ""make personX's father aware"", ""none""]","[""like a disappointment"", ""like a failure"", ""rejected"", ""sad"", ""ashamed"", ""abashed"", ""shameful"", ""doen""]","[""to say sorry"", ""to apologize"", ""to make it right"", ""to have a healthy relationship"", ""apologize"", ""explain"", ""to stop talking to their father"", ""to apologize""]",trn,PersonX pleases PersonX's father,displease,affixes_verb
PersonX gives PersonY nothing,"[""none"", ""gets scored"", ""loses a friend"", ""none""]","[""none"", ""offended"", ""upset"", ""cheated"", ""slighted"", ""needy"", ""spurned""]","[""none"", ""to punch personx"", ""to cry"", ""be appreciated"", ""receive a gift"", ""to take back what they gave PersonX"", ""call out PersonX""]","[""cheap"", ""mean"", ""greedy"", ""selfish"", ""selfish"", ""unyielding"", ""stingy"", ""ungenerous""]","[""none"", ""gets asked for something"", ""gets scolded"", ""lets themselves down"", ""decides to learn for next time"", ""none""]","[""none"", ""to slight PersonY"", ""to keep it all to themselves"", ""to save money"", ""to show them how much they love them"", ""to have more money"", ""to jeep y from being dependent""]","[""none"", ""none""]","[""mean"", ""selfish"", ""vindictive"", ""greedy"", ""they had good reasons"", ""stingy"", ""greedy"", ""uncaring""]","[""to be greedy"", ""save things"", ""to leave persony"", ""to upset persony"", ""avoid pesonY"", ""save money"", ""to save money"", ""to avoid PersonY""]",trn,PersonX gives PersonY something,nothing,single_word
PersonX disagrees to try it,"[""none"", ""has to finish something themselves"", ""loses a friend"", ""none""]","[""none"", ""none""]","[""none"", ""convince personX"", ""eat it themself"", ""none""]","[""closed-minded"", ""hard to please"", ""set in their ways"", ""unadventurous"", ""argumentative"", ""cautious"", ""skeptical"", ""stubborn""]","[""looks for something else to try"", ""find something else"", ""none"", ""gets in trouble"", ""loses a friend"", ""makes a face of disgust"", ""spits it out""]","[""none"", ""to do something else"", ""to talk to someone first"", ""none""]","[""hear about it"", ""decide not to try it"", ""to know the situation"", ""to make a decision"", ""be offered something"", ""be disinterested"", ""went to store"", ""though about making a purchase""]","[""sad"", ""cautious"", ""afraid"", ""scared"", ""discerning"", ""careful"", ""unhappy"", ""unsatisfied""]","[""avoid it"", ""try something else"", ""to try new things"", ""to take a step"", ""avoid trying it"", ""have something else instead"", ""to find a product that better fits needs"", ""wait on buying anything""]",trn,PersonX agrees to try it,disagree,affixes_verb
PersonX wallows in failure,"[""none""]","[""none""]","[""none""]","[""depressed"", ""ineffective"", ""hopeless"", ""agitated"", ""confused""]","[""depressed"", ""angry"", ""doesn't go out"", ""stays at home all day""]","[""none""]","[""none"", ""to fail a lot"", ""to have courage""]","[""sad"", ""disappointed"", ""depressed""]","[""mourn the loss"", ""be alone"", ""to work hard"", ""to find a job""]",trn,PersonX becomes a success,fail,verb
PersonX gets a ride home without PersonY,"[""looks for personx"", ""calls personx's phone"", ""none""]","[""unwanted"", ""discarded"", ""none""]","[""none"", ""to find a different ride home"", ""hitch a ride""]","[""capable"", ""savvy"", ""selfish"", ""stingy""]","[""remember persony is left behind"", ""goes back"", ""none""]","[""to be away from PersonY"", ""to be separate from PersonY"", ""none""]","[""to ask someone else for a ride"", ""to get someone to pity them"", ""none""]","[""relieved"", ""relaxed"", ""lonely"", ""sad""]","[""to get more rides to places"", ""to ignore PersonY"", ""to leave persony"", ""leave persony in the dark""]",trn,PersonX goes home with PersonY,without,single_word
