event,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant,split,original
PersonX does not earn PersonY income,"[""struggles to understand"", ""moans inside"", ""no money"", ""no income"", ""none"", ""PersonY has no money"", ""PersonY cannot buy anything""]","[""none"", ""PersonY's spouse is happy to have the additional income"", ""PersonY's children are happy to have family trips overseas"", ""angry"", ""broke"", ""frustrated""]","[""none"", ""none""]","[""jealous"", ""resentful"", ""poor"", ""unskilled"", ""unmotivated"", ""lazy"", ""self-centered"", ""selfish""]","[""becomes obsessed over money"", ""cries"", ""none"", ""none"", ""PersonX has all their money"", ""PersonX is yelled at""]","[""none"", ""to be rest, because he was lazy"", ""to be abscond, because he was tired"", ""to make their own income"", ""PersonY to be independent"", ""to hurt PersonY"", ""to be free from PersonY""]","[""he have no in come"", ""he is un employ"", ""none"", ""to earn income like Y"", ""to plan for earn income"", ""have a job"", ""not earn a good wage"", ""none""]","[""jealous"", ""filled with greed"", ""somber"", ""bitter"", ""accepting does not have same job as PersonY"", ""accepts PersonY has more training/education"", ""very happy"", ""satisfied"", ""guilty"", ""responsible"", ""satisfied"", ""scared""]","[""he earn money"", ""he got a income"", ""to earn on his own"", ""to buy new things"", ""to get  more work"", ""to earn much income"", ""get a raise"", ""get new job"", ""earn more money"", ""find a new job""]",tst,PersonX earns PersonY income
PersonX does not bow PersonX's heads,"[""none"", ""frowns"", ""sighs"", ""none""]","[""none"", ""offended"", ""their authority being challenged"", ""angry at personx"", ""like something should be done"", ""upset"", ""angry"", ""none""]","[""none"", ""none""]","[""prideful"", ""arrogant"", ""selfish"", ""disrespectful"", ""rude"", ""disprespectful"", ""uninspired""]","[""gets reprimanded"", ""gets punished"", ""reprimanded"", ""punished"", ""none"", ""Kicked out of mass by priest"", ""Banned from church altogether""]","[""to look up"", ""to break the rules"", ""to be independent"", ""to hold their head up"", ""not to give in"", ""to be defiant"", ""to defy tradition"", ""to stand out"", ""to defy someone"", ""to stay alert"", ""to stay true to their own faith"", ""to signal to others that they disagree""]","[""none"", ""goes somewhere special"", ""gets offended or doesn't care about someone high in status"", ""to shake hands"", ""needs to high five"", ""none""]","[""insolent"", ""mischievous"", ""rebellious"", ""in danger"", ""angry at authority"", ""scared of retaliation"", ""like their own person"", ""like a hero"", ""angry"", ""upset"", ""determined"", ""confident in their own belief system"", ""annoyed to receive nasty looks""]","[""bow hitting the x person"", ""and take treatment"", ""be very careful"", ""to be aware"", ""go home"", ""continue with day"", ""to leave it alone"", ""take rest"", ""to be embarrassed"", ""to go home"", ""to be problematic"", ""show their unhappiness""]",tst,PersonX bows PersonX's heads
PersonX does not hear a phone ring,"[""none"", ""none"", ""become concerned"", ""determine to call back""]","[""irritiated"", ""worried about x"", ""none""]","[""none"", ""none"", ""To hear from personX"", ""To talk to personX about school""]","[""inattentive"", ""preoccupied"", ""absent minded"", ""deaf"", ""occupied"", ""distracted""]","[""misses phone call"", ""misses oppurtunity to work"", ""misses a phone call"", ""gets called again"", ""Misses out on day of work"", ""Demoted by boss"", ""pick up no call"", ""become apologetic""]","[""none""]","[""none"", ""be listening to music"", ""not wear hearing aid"", ""to turn on the music"", ""to turn the volume up"", ""Buy a house"", ""Install a phone"", ""Go take a shower""]","[""unknowning"", ""alone"", ""surprised some is on the phone"", ""excited to talk""]","[""Keep listening"", ""Call back"", ""to check voicemail"", ""make a call"", ""to turn down the song"", ""to shut off the stereo"", ""To check their messages"", ""To call their friends back""]",tst,PersonX hears a phone ring
PersonX does not seek PersonY's advice,"[""none"", ""none""]","[""unworthy"", ""undervalued"", ""left out"", ""disrespected""]","[""none"", ""none""]","[""selfish"", ""self absorbed"", ""stubborn"", ""set in their ways"", ""reserved"", ""self reliant"", ""independent"", ""strong""]","[""make own decision"", ""don`t like to ask help"", ""move away"", ""have a plan"", ""gets questioned"", ""is left alone"", ""is uninformed"", ""makes a poor choice""]","[""to handle it on their own"", ""to do it their own way"", ""to do it themself"", ""to find a better source of info""]","[""none"", ""none""]","[""determined"", ""correct"", ""proud for doing it themself"", ""uninformed""]","[""thinking alone"", ""feel safe and relax"", ""to do research"", ""to find out on their own"", ""chart their own path"", ""figure out what they want to do"", ""to find someone competent to ask advice"", ""handle the problem solo""]",tst,PersonX seeks PersonY's advice
PersonX does not watch PersonX's mouth,"[""Becomes angry"", ""Yells at PersonX"", ""none"", ""none""]","[""offended"", ""upset"", ""none""]","[""none"", ""none""]","[""unfiltered"", ""a potty mouth"", ""blunt"", ""brash"", ""blunt"", ""talkative"", ""hotheaded"", ""impulsive"", ""volatile"", ""irresponsible""]","[""He angers someone"", ""Gets cussed at"", ""turn the face"", ""think about problem"", ""have a sore mouth"", ""spend money on dentition"", ""they are punished"", ""they get their mouth washed out with soap""]","[""to attract attention"", ""to tell their new joke to everyone"", ""to spout off"", ""to anger others""]","[""none"", ""none""]","[""brash"", ""unconcerned with others' opinions"", ""unguarded"", ""powerful""]","[""to be careful"", ""to think before speaking"", ""to apologize"", ""to run away"", ""to be hostile"", ""to assert their dominance"", ""to tell others what he thinks"", ""to develop a reputation as a straight shooter""]",tst,PersonX watches PersonX's mouth
PersonX does not make contact with PersonY,"[""none"", ""none""]","[""Upset"", ""Curious"", ""confused why Person X is avoiding them"", ""disappointed, wondering what they did to turn Person X off""]","[""none"", ""to text personx"", ""to stalk personx"", ""to reconnect with PersonX"", ""to get back together with PersonX despite everything"", ""none""]","[""unfriendly"", ""unkind"", ""distracted"", ""busy"", ""alone"", ""unsuccessful"", ""unskilled"", ""incompetent""]","[""is rude to others"", ""becomes concerned"", ""like to alone"", ""not attract by his work"", ""Overwhelmed with emotion"", ""Cannot sleep at night due to sadness"", ""none""]","[""to be left alone"", ""to keep things to himself"", ""to avoid communicating with the other individual"", ""to keep their distance from them"", ""doesn't want to start a relationship with them""]","[""none"", ""to have made the acquaintance of PersonY"", ""to know a way to contact PersonY"", ""none""]","[""Relieved"", ""Lonely"", ""that they will avoid Person Y's calls"", ""relieved to not have to talk with them""]","[""to cut ties"", ""to leave persony"", ""to keep busy with other things, and not waste time on social media"", ""to avoid rekindling a toxic relationship from the past""]",tst,PersonX makes contact with PersonY
PersonX does not take place during the years,"[""none"", ""none""]","[""none""]","[""none"", ""none""]","[""unlucky"", ""doesn't exist"", ""lazy"", ""not focused"", ""careless"", ""aloof""]","[""none"", ""none""]","[""none""]","[""none"", ""none""]","[""irrelevant"", ""ignored"", ""sad"", ""disappointed""]","[""to do something interesting"", ""to gain fame"", ""to walk their own path"", ""to go for their own happiness"", ""to be lazy"", ""to be a slob"", ""to try to do better"", ""do nothing in particular""]",tst,PersonX takes place during the years
PersonX does not recognize PersonY,"[""none"", ""squints to recognize X"", ""gets looked at"", ""none""]","[""happy they met up"", ""loved"", ""upset"", ""ignored""]","[""none"", ""to talk to person X"", ""to show person X old belongings"", ""to get PersonX's attention"", ""to know that PersonX remembers them"", ""to make friends"", ""to find a familiar face""]","[""unobservant"", ""inattentive"", ""forgetful"", ""absentminded"", ""old"", ""confused"", ""forgetful"", ""unintroduced"", ""distracted"", ""absentminded""]","[""feel shame"", ""medicine takes effect"", ""go office early"", ""introduce himself"", ""gets approached"", ""gets talked to"", ""none""]","[""to go out with friends"", ""to go out to eat"", ""none""]","[""none"", ""to know PersonY by name and by face"", ""to see PersonY in an unexpected location"", ""to look at personY"", ""to think about if they know personY or not""]","[""tired"", ""loved"", ""oblivious"", ""unaware""]","[""very happy"", ""feel relax"", ""to look at photographs"", ""to read their journal"", ""to apologize for not recognizing a friend"", ""to be more observant next time"", ""to become friends"", ""to remember personY""]",tst,PersonX recognizes PersonY
PersonX does not share PersonX's experience,"[""none"", ""none""]","[""none""]","[""to respect person x"", ""to hear the words of person x"", ""feel bad"", ""go home"", ""none""]","[""reserved"", ""quiet"", ""secretive"", ""unfriendly"", ""limited"", ""bounded"", ""circumscribed"", ""narrow-minded"", ""introverted"", ""antisocial""]","[""none"", ""Questioned by personY"", ""Encouraged to go and try again"", ""none"", ""goes unnoticed"", ""becomes alone""]","[""to keep it a secret"", ""to remain guarded"", ""to be private"", ""to be secretive""]","[""to do hard work"", ""to be in a great position"", ""has been close with the person"", ""have an enmity with the person"", ""none"", ""have experience"", ""decide not to share""]","[""suspicious"", ""secretive"", ""unemotional"", ""uncaring""]","[""to share his experience"", ""to help others to achieve"", ""leave the person"", ""later consider sharing the story"", ""to get to know PersonX better"", ""to remain schizophrenic"", ""maintain privacy"", ""explain""]",tst,PersonX shares PersonX's experience
PersonX does not make PersonY appeal,"[""avoid person x"", ""hate person x"", ""none"", ""none"", ""Convicted on each count"", ""Thrown into jail""]","[""thankful"", ""happy"", ""selective"", ""condescending""]","[""none"", ""none"", ""PersonX to not be around them"", ""to tell PersonX to go away""]","[""cruel"", ""calculating"", ""ill-favored"", ""homely"", ""unmotivated"", ""uninterested"", ""unattractive"", ""indifferent""]","[""help person y"", ""make person y to appeal"", ""none"", ""none""]","[""to be lenient"", ""to be nice"", ""none""]","[""none"", ""none""]","[""generous"", ""nice"", ""unappealing"", ""low""]","[""to teach them"", ""to do it for them"", ""to be calm"", ""work for truth"", ""to avoid PersonY"", ""to ignore PersonY"", ""to work on their attitudes"", ""work out their frustrations""]",tst,PersonX makes PersonY appeal
