neg_event,event
PersonX rejects PersonY,PersonX accepts PersonY
PersonX reschedule's PersonY's appointment,PersonX accepts PersonY appointment
PersonX rejects PersonY thanks,PersonX accepts PersonY thanks
PersonX rejects PersonY's proposal,PersonX accepts PersonY's proposal
PersonX walked carefully,PersonX accidentally knocked
PersonX leaves PersonY,PersonX accompanies PersonY
PersonX leaves PersonY early,PersonX accompanies PersonY far
PersonX left  PersonX's wife,PersonX accompanies by PersonX's wife
PersonX wishes PersonY's wife a nice trip,PersonX accompanies by PersonY's wife
PersonX leaves PersonY to do their own work,PersonX accomplishes PersonY's work
PersonX acquits  PersonY,PersonX accuses PersonY
PersonX bores PersonY,PersonX acquires PersonY interest
PersonX acts as PersonY all the time,PersonX acts as PersonY intermediary
PersonX acts against PersonY's interests.,PersonX acts in PersonY capacity
PersonX acts like a woman,PersonX acts like a man
PersonX removes PersonY,PersonX adds PersonY
PersonX subtracts insult from injury,PersonX adds insult to injury
Person X scoffs at the work of Y,PersonX admires PersonY's work
PersonX gives away PersonY,PersonX adopts PersonY
PersonX gives up her baby for adoption.,PersonX adopts a baby
PersonX abandons a child,PersonX adopts a child
PersonX hates PersonY,PersonX adores PersonY
PersonX runs away from PersonY,PersonX advances toward PersonY
PersonX runs from PersonY,PersonX advances towards PersonY
PersonX advises personY to stay,PersonX advises PersonY to go
PersonX is poor,PersonX affords a car
PersonX rejects a date,PersonX agrees to a date
PersonX decides to stay home,PersonX agrees to go
PersonX agrees to stay with PersonY.,PersonX agrees to go with PersonY
PersonX declined to date,PersonX agrees to the date
PersonX argues with PersonY,PersonX agrees with PersonY
PersonX induces PersonY's fears.,PersonX allays PersonY's fears
PersonX wants PersonY to return the dog,PersonX allows PersonY to keep the dog
PersonX also declined to eat,PersonX also ate
PersonX left PersonY behind.,PersonX also took PersonY
PersonX always remembered,PersonX always forgot
PersonX always took,PersonX always gave
PersonX always accepts,PersonX always refused
PersonX likes to keep moving.,PersonX always stayed
PersonX keeps PersonY's arrival quiet,PersonX announces PersonY's arrival
PersonX announces the losers.,PersonX announces the winners
PersonX ignores PersonY,PersonX answers PersonY
PersonX ignores PersonY completely.,PersonX answers PersonY questions
PersonX remains silent,PersonX answers questions
PersonX  ignored the call,PersonX answers the call
PersonX  lets the phone go to voicemail,PersonX answers the phone
PersonX complains loudly,PersonX apologizes profusely
PersonX appears out of somewhere,PersonX appears out of nowhere
PersonX takes a gap year,PersonX applies to colleges
PersonX trivializes PersonY's effort,PersonX appreciates PersonY's effort
PersonX stays away,PersonX approaches PersonX's crush
PersonX ignores PersonY's crush.,PersonX approaches PersonY's crush
PersonX accepted PersonY's case,PersonX argues PersonY's case
PersonX agrees with PersonY,PersonX argues with PersonY
PersonX frees PersonY.,PersonX arrests PersonY
PersonX drops PersonY off.,PersonX arrives to pick PersonY up
PersonX tells PersonX why.,PersonX asks PersonX why
PersonX stays away from PersonX's crush.,PersonX asks PersonX's crush
PersonX ignores PersonX's kids,PersonX asks PersonX's kids
PersonX tells personX's Manager.,PersonX asks PersonX's manager
PersonX asks PersonX's mom for nothing,PersonX asks PersonX's mom for help
PersonX asks PersonX's distant relative,PersonX asks PersonX's neighbor
PersonX gives PersonX's parents an order.,PersonX asks PersonX's parents for one
Person X withhold the information from Y,PersonX asks PersonY about it
PersonX asks PersonY nothing,PersonX asks PersonY anything
PersonX asks PersonY for PersonZ’s shoe size.,PersonX asks PersonY for PersonZ's number
PersonX ignores PersonY's advances.,PersonX asks PersonY for a date
PersonX asks PersonY for a paper.,PersonX asks PersonY for a pencil
PersonX tells off PersonY,PersonX asks PersonY opinion
PersonX asks PersonY for a dance,PersonX asks PersonY out on a date
PersonX tells PersonY questions,PersonX asks PersonY questions
PersonX looks to themselves for the answer.,PersonX asks PersonY some questions
PersonX hides their interest from PersonY.,PersonX asks PersonY the question
PersonX asks PersonY to leave,PersonX asks PersonY to accompany
PersonX rejects PersonY's dinner invitation.,PersonX asks PersonY to dine
PersonX asks PersonY to receive.,PersonX asks PersonY to give
PersonX rejects PersonY's help.,PersonX asks PersonY to help
PersonX tells PersonY to leave,PersonX asks PersonY to join
PersonX breaks it off with PersonY,PersonX asks PersonY to marry
PersonY asks personX to marry them.,PersonX asks PersonY to marry PersonY
PersonX asks PersonY to job,PersonX asks PersonY to prom
PersonX kicks PersonY out.,PersonX asks PersonY to return
PersonX asks PersonY to look away,PersonX asks PersonY to see
PersonX gives it to PersonY,PersonX asks PersonY to take
PersonX asks PersonY to the movies,PersonX asks PersonY to the dance
PersonX thinks about PersonY to the prom,PersonX asks PersonY to the prom
PersonX asks PersonY to read.,PersonX asks PersonY to write
PersonX tells PersonY what PersonZ was saying.,PersonX asks PersonY what PersonZ was doing
PersonX ignores PersonY what was wrong.,PersonX asks PersonY what was wrong
PersonX tells  PersonY why,PersonX asks PersonY why
PersonX ignores PersonY's advice,PersonX asks PersonY's advice
PersonX asks PersonY's sister,PersonX asks PersonY's brother
PersonX tells PersonY's family.,PersonX asks PersonY's family
PersonX thinks that it was PersonY's fault,PersonX asks PersonY's forgiveness
PersonX atells PersonY's friend to give advice,PersonX asks PersonY's friend for advice
PersonX asks PersonY's mom for help.,PersonX asks PersonY's friend for help
PersonX gives PersonY advice,PersonX asks PersonY's friends for advice
PersonX asks PersonY's boyfriend,PersonX asks PersonY's girlfriend
PersonX ignores any of PersonY's advice.,PersonX asks PersonY's help
PersonX asks PersonY's parents.,PersonX asks PersonY's kids
PersonX asked PersonY's dad for help.,PersonX asks PersonY's mom for help
PersonX turns down PersonY's date request,PersonX asks PersonY's on a date
PersonX asks PersonY's thanks,PersonX asks PersonY's pardon
PersonX asks PersonY's kids,PersonX asks PersonY's parents
PersonX tells PersonY's roommate,PersonX asks PersonY's roommate
PersonX ignores PersonY's son.,PersonX asks PersonY's son
PersonX listens to PersonY's wife.,PersonX asks PersonY's wife
PersonX goes past a girl.,PersonX asks a girl
PersonX rejects a girl.,PersonX asks a girl out
PersonX answers a question.,PersonX asks a question
PersonX tells PersonY about the event,PersonX asks for PersonY explanation
PersonX stays to themselves.,PersonX asks friends
PersonX asks my dad,PersonX asks my mom
PersonX does what they want,PersonX asks my neighbor
PersonX ignored my parents,PersonX asks my parents
PersonX stays silent.,PersonX asks questions
PersonX asks questions first,PersonX asks questions later
PersonX asks the girl,PersonX asks the boy
PersonX is too shy to ask the boy out.,PersonX asks the boy out
The girl asks PersonX out.,PersonX asks the girl out
PersonX listens to the answer.,PersonX asks the question
