neg_event,event,split,neg_cue,neg_cue_type
PersonX lacks a bad feeling,PersonX has a bad feeling,tst,lack,single_word
PersonX lacks a dream last night,PersonX has a dream last night,tst,lack,single_word
PersonX lacks an amazing time,PersonX has an amazing time,tst,lack,single_word
PersonX lacks a nice dinner,PersonX has a nice dinner,tst,lack,single_word
PersonX lacks a new toy,PersonX has a new toy,tst,lack,single_word
PersonX lacks a fear of heights,PersonX has a fear of heights,tst,lack,single_word
PersonX lacks a wonderful trip,PersonX has a wonderful trip,tst,lack,single_word
PersonX lacks fun playing,PersonX has fun playing,tst,lack,single_word
PersonX lacks anger problems,PersonX has anger problems,tst,lack,single_word
PersonX lacks a baby girl,PersonX has a baby girl,tst,lack,single_word
PersonX lacks trouble falling asleep,PersonX has trouble falling asleep,tst,lack,single_word
PersonX lacks a new car,PersonX has a new car,tst,lack,single_word
PersonX lacks a wonderful time on PersonX's trip,PersonX has a wonderful time on PersonX's trip,tst,lack,single_word
PersonX lacks a laugh,PersonX has a laugh,tst,lack,single_word
PersonX lacks a dinner party,PersonX has a dinner party,tst,lack,single_word
PersonX is deprived of a laugh,PersonX has a laugh,tst,is deprived of,multi_word
PersonX is deprived of an important job interview,PersonX has an important job interview,tst,is deprived of,multi_word
PersonX is deprived of a long way to go,PersonX has a long way to go,tst,is deprived of,multi_word
PersonX is deprived of a wonderful time,PersonX has a wonderful time,tst,is deprived of,multi_word
PersonX is deprived of a wonderful trip,PersonX has a wonderful trip,tst,is deprived of,multi_word
PersonX is deprived of a new car,PersonX has a new car,tst,is deprived of,multi_word
PersonX is deprived of an amazing time,PersonX has an amazing time,tst,is deprived of,multi_word
PersonX is deprived of a wonderful time on PersonX's trip,PersonX has a wonderful time on PersonX's trip,tst,is deprived of,multi_word
PersonX is deprived of a baby girl,PersonX has a baby girl,tst,is deprived of,multi_word
PersonX is deprived of a new toy,PersonX has a new toy,tst,is deprived of,multi_word
PersonX is deprived of a nice dinner,PersonX has a nice dinner,tst,is deprived of,multi_word
PersonX is deprived of fun playing,PersonX has fun playing,tst,is deprived of,multi_word
PersonX is deprived of a lot of money,PersonX has a lot of money,tst,is deprived of,multi_word
PersonX has a lack of a wonderful time,PersonX has a wonderful time,tst,a lack of,multi_word
PersonX has a lack of a fear of heights,PersonX has a fear of heights,tst,a lack of,multi_word
PersonX has a lack of anger problems,PersonX has anger problems,tst,a lack of,multi_word
PersonX has a lack of trouble falling asleep,PersonX has trouble falling asleep,tst,a lack of,multi_word
PersonX has a lack of a wonderful time on PersonX's trip,PersonX has a wonderful time on PersonX's trip,tst,a lack of,multi_word
PersonX has a lack of an important job interview,PersonX has an important job interview,tst,a lack of,multi_word
PersonX has a lack of fun playing,PersonX has fun playing,tst,a lack of,multi_word
PersonX has a lack of a bad feeling,PersonX has a bad feeling,tst,a lack of,multi_word
PersonX has a lack of a new car,PersonX has a new car,tst,a lack of,multi_word
PersonX has a lack of a nice dinner,PersonX has a nice dinner,tst,a lack of,multi_word
PersonX has a lack of a wonderful trip,PersonX has a wonderful trip,tst,a lack of,multi_word
