neg_event,event
PersonX does not catch PersonX's bus,PersonX catches PersonX's bus
PersonX does not abuse PersonX's power,PersonX abuses PersonX's power
PersonX does not accept PersonY's apology,PersonX accepts PersonY's apology
PersonX does not catch PersonX's dog,PersonX catches PersonX's dog
PersonX does not catch PersonY attention,PersonX catches PersonY attention
PersonX did not accidentally kick,PersonX accidentally kicked
PersonX did not accidentally pour,PersonX accidentally poured
PersonX did not accidentally run,PersonX accidentally ran
PersonX does not catch PersonY eye,PersonX catches PersonY eye
PersonX does not accomplish PersonX's ends,PersonX accomplishes PersonX's ends
PersonX does not catch PersonY red-handed,PersonX catches PersonY red-handed
PersonX does not achieve PersonX's purpose,PersonX achieves PersonX's purpose
PersonX does not catch PersonY's attention,PersonX catches PersonY's attention
PersonX does not catch PersonY's dog,PersonX catches PersonY's dog
PersonX does not achieve PersonY level,PersonX achieves PersonY level
PersonX does not catch PersonY's eye,PersonX catches PersonY's eye
PersonX does not act upon PersonY,PersonX acts upon PersonY
PersonX does not catch a cold,PersonX catches a cold
PersonX does not advertise PersonX's business,PersonX advertises PersonX's business
PersonX does not catch flies,PersonX catches flies
PersonX does not advertise PersonY's business,PersonX advertises PersonY's business
PersonX does not affect PersonY deeply,PersonX affects PersonY deeply
PersonX does not catch my attention,PersonX catches my attention
PersonX does not agree on anything,PersonX agrees on anything
PersonX does not catch my eye,PersonX catches my eye
PersonX does not catch some rays,PersonX catches some rays
PersonX does not agree to disagree,PersonX agrees to disagree
PersonX does not catch the bus,PersonX catches the bus
PersonX does not catch the bus to work,PersonX catches the bus to work
PersonX did not also stop,PersonX also stopped
PersonX does not catch the dog,PersonX catches the dog
PersonX does not alter PersonX's course,PersonX alters PersonX's course
PersonX does not alter PersonY's course,PersonX alters PersonY's course
PersonX does not catch the eye,PersonX catches the eye
PersonX did not always ask,PersonX always asked
PersonX does not challenge PersonX's friend to a race,PersonX challenges PersonX's friend to a race
PersonX did not always beat,PersonX always beat
PersonX does not always go,PersonX always goes
PersonX does not challenge PersonY's friend,PersonX challenges PersonY's friend
PersonX does not challenge PersonY's friend to a race,PersonX challenges PersonY's friend to a race
PersonX did not always make,PersonX always made
PersonX does not change PersonX's direction,PersonX changes PersonX's direction
PersonX does not change PersonX's lives,PersonX changes PersonX's lives
PersonX does not change PersonY's lives,PersonX changes PersonY's lives
PersonX does not always make,PersonX always makes
PersonX did not always work,PersonX always worked
PersonX does not charge PersonY's phone,PersonX charges PersonY's phone
PersonX does not announce PersonX's decision,PersonX announces PersonX's decision
PersonX does not check PersonY,PersonX checks PersonY
PersonX does not announce PersonY's decision,PersonX announces PersonY's decision
PersonX does not apologize to PersonY,PersonX apologizes to PersonY
PersonX does not check everywhere,PersonX checks everywhere
PersonX does not chew the cud,PersonX chews the cud
PersonX does not apply for jobs,PersonX applies for jobs
PersonX does not choke the chicken,PersonX chokes the chicken
PersonX does not apply to jobs,PersonX applies to jobs
PersonX does not choose among alternatives,PersonX chooses among alternatives
PersonX does not appreciate PersonY,PersonX appreciates PersonY
PersonX does not choose one,PersonX chooses one
PersonX does not clap PersonY on the shoulder,PersonX claps PersonY on the shoulder
PersonX does not approach PersonY,PersonX approaches PersonY
PersonX does not clean PersonX's bedroom,PersonX cleans PersonX's bedroom
PersonX does not clean PersonY's bedroom,PersonX cleans PersonY's bedroom
PersonX does not arch PersonY back,PersonX arches PersonY back
PersonX does not arch PersonY's back,PersonX arches PersonY's back
PersonX does not clean PersonY's clock,PersonX cleans PersonY's clock
PersonX does not arch PersonY's body,PersonX arches PersonY's body
PersonX does not close that day,PersonX closes that day
PersonX does not argue with PersonX's boyfriend,PersonX argues with PersonX's boyfriend
PersonX does not argue with PersonY's boyfriend,PersonX argues with PersonY's boyfriend
PersonX does not arrive at PersonX's destination,PersonX arrives at PersonX's destination
PersonX does not come again,PersonX comes again
PersonX does not arrive soon,PersonX arrives soon
PersonX does not come and see PersonY,PersonX comes and see PersonY
PersonX does not ask PersonX's dad for help,PersonX asks PersonX's dad for help
PersonX does not come into PersonX's own,PersonX comes into PersonX's own
PersonX does not come into PersonY's eyes,PersonX comes into PersonY's eyes
PersonX does not come into being,PersonX comes into being
PersonX does not come looking for PersonY,PersonX comes looking for PersonY
PersonX does not come of age,PersonX comes of age
PersonX does not ask PersonX's doctor,PersonX asks PersonX's doctor
PersonX does not come see PersonY,PersonX comes see PersonY
PersonX does not ask PersonX's grandmother,PersonX asks PersonX's grandmother
PersonX does not come to PersonY house,PersonX comes to PersonY house
PersonX does not ask PersonX's little brother,PersonX asks PersonX's little brother
PersonX does not come to PersonY's eyes,PersonX comes to PersonY's eyes
PersonX does not ask PersonX's sister,PersonX asks PersonX's sister
PersonX does not ask PersonY for money,PersonX asks PersonY for money
PersonX does not come to PersonY's house,PersonX comes to PersonY's house
