neg_event,event
PersonX treats their power with respect and dignity,PersonX abuses PersonX's power
PersonX keeps PersonX's power in check,PersonX abuses PersonX's power
PersonX intentionally punched,PersonX accidentally kicked
PersonX intentionally kicked,PersonX accidentally kicked
PersonX held it still.,PersonX accidentally poured
Personx purposefully poured.,PersonX accidentally poured
PersonX walked normal,PersonX accidentally ran
PersonX intentionally went out running,PersonX accidentally ran
PersonX does nothing.,PersonX acts upon PersonY
PersonX leaves PersonY,PersonX acts upon PersonY
personx advertises persony's car,PersonX advertises PersonY's business
PersonX slanders PersonY's business.,PersonX advertises PersonY's business
PersonX affects PersonY superficially,PersonX affects PersonY deeply
Personx wants to fight,PersonX agrees to disagree
PersonX continues to argue,PersonX agrees to disagree
PersonX also started,PersonX also stopped
PersonX kept going,PersonX also stopped
PersonX follows the trail,PersonX alters PersonX's course
PersonX gives up,PersonX alters PersonX's course
PersonX tells PersonY to stay on the same path.,PersonX alters PersonY's course
PersonX leaves PersonY's course alone,PersonX alters PersonY's course
PersonX always asks.,PersonX always asked
personx always loses,PersonX always beat
PersonX always loses.,PersonX always beat
PersonX always stays in,PersonX always goes
PersonX always returns,PersonX always goes
sometimes they dont make,PersonX always made
Personx always defers,PersonX always makes
PersonX gives makes,PersonX always makes
PersonX is unemployed.,PersonX always worked
PersonX delays PersonX's decision,PersonX announces PersonX's decision
PersonX keeps his decision private,PersonX announces PersonX's decision
PersonX conceals PersonY's decision,PersonX announces PersonY's decision
PersonX despises PersonY's decision.,PersonX announces PersonY's decision
PersonX blames PersonY.,PersonX apologizes to PersonY
PersonX stays home and collects unemployment,PersonX applies for jobs
PersonX quits their job,PersonX applies for jobs
PersonX quits a job.,PersonX applies to jobs
PersonX stays at current job,PersonX applies to jobs
PersonX underappreciates PersonY,PersonX appreciates PersonY
PersonX takes PersonY for granted,PersonX appreciates PersonY
PersonX walks away from PersonY,PersonX approaches PersonY
PersonY arches PersonX's back.,PersonX arches PersonY back
PersonX pulls PersonY forward,PersonX arches PersonY back
PersonX stiffens PersonY's back.,PersonX arches PersonY's back
PersonX stabs PersonY's body.,PersonX arches PersonY's body
personx argues with personx's girlfriend,PersonX argues with PersonX's boyfriend
PersonX kisses PersonX's boyfriend,PersonX argues with PersonX's boyfriend
PersonX talkes with PersonY's boyfriend,PersonX argues with PersonY's boyfriend
PersonX gets along with PersonY's boyfriend.,PersonX argues with PersonY's boyfriend
PersonX departs from PersonX's destination.,PersonX arrives at PersonX's destination
PersonX gets lost.,PersonX arrives at PersonX's destination
PersonX arrives late,PersonX arrives soon
PersonX shows up late.,PersonX arrives soon
PersonX finds an answer themselves.,PersonX asks anyone
PersonX asks nobody,PersonX asks anyone
PersonX asks PersonX's brother for help,PersonX asks PersonX's dad for help
PersonX handles everything on their own.,PersonX asks PersonX's dad for help
personx asks personx's teacher,PersonX asks PersonX's doctor
PersonX ignores PersonX's grandmother,PersonX asks PersonX's grandmother
PersonX asks PersonX's grandson.,PersonX asks PersonX's grandmother
PersonX asks a friend.,PersonX asks PersonX's sister
PersonX answers PersonX's sister,PersonX asks PersonX's sister
PersonX gives PersonY a loan.,PersonX asks PersonY for money
PersonX repays PersonY,PersonX asks PersonY for money
PersonX asks PersonY to leave something.,PersonX asks PersonY to bring
PersonX tells PersonY to bring something.,PersonX asks PersonY to bring
PersonY asks PersonX to pray,PersonX asks PersonY to pray
PersonX prohibits PersonY's religion,PersonX asks PersonY to pray
PersonX asks PersonY to write,PersonX asks PersonY to read
PersonX asks PersonY to be quiet.,PersonX asks PersonY to read
PersonX asks PersonY to leave,PersonX asks PersonY to sit
PersonX tells PersonY to stand,PersonX asks PersonY to sit
PersonX asks PersonY to stand up,PersonX asks PersonY to sit down
PersonX watches PersonY sit down,PersonX asks PersonY to sit down
PersonX tells PersonY to shutup.,PersonX asks PersonY to speak
PersonX asks PersonY to be quiet,PersonX asks PersonY to speak
PersonX asks PersonY to give up.,PersonX asks PersonY to try
PersonX asks PersonY to give up,PersonX asks PersonY to try
PersonX asks PersonY to leave.,PersonX asks PersonY to visit
PersonX wants PersonY to leave them alone,PersonX asks PersonY to visit
PersonX is scared to ask PersonY's dad,PersonX asks PersonY's dad
PersonX tells PersonY's dad.,PersonX asks PersonY's dad
Person Y asks Person X's dad for help.,PersonX asks PersonY's dad for help
PersonX tells PersonY's doctor a fact.,PersonX asks PersonY's doctor
PersonX tells PersonY's doctor,PersonX asks PersonY's doctor
personx asks persony's mother,PersonX asks PersonY's sister
PersonX asks PersonY's brother,PersonX asks PersonY's sister
PersonX decides to wait,PersonX asks the doctor
PersonX ignores the doctor,PersonX asks the doctor
PersonX devastates PersonY,PersonX assembles PersonY
PersonX attends stay at home school,PersonX attends college
PersonX drops out of high school.,PersonX attends college
Personx remains a wall flower,PersonX attention whores
PersonX is an introvert.,PersonX attention whores
PersonX neglects PersonY.,PersonX babysits PersonY
PersonX leaves the baby of PersonY,PersonX babysits PersonY
PersonX babysits PersonY's daughter,PersonX babysits PersonY's cousin
PersonX is being babysat by PersonY's cousin.,PersonX babysits PersonY's cousin
PersonX lets PersonY stay in jail,PersonX bails PersonY out
PersonX bakes a cherry pie,PersonX bakes an apple pie
PersonX freezes an apple pie,PersonX bakes an apple pie
PersonX keeps their eyes closed,PersonX bats PersonX's eyes
PersonX closes PersonX's eyes.,PersonX bats PersonX's eyes
PersonX gets right to the point,PersonX beats around the bush
PersonX tells everything outright,PersonX beats around the bush
PersonX loses to everone.,PersonX beats everyone
PersonX lost it,PersonX beats it
PersonX loses to PersonY.,PersonX beats PersonY easily
PersonX loses their medical license.,PersonX becomes a doctor
PersonX dies on the operating table,PersonX becomes a doctor
PersonX becomes a great mathematician,PersonX becomes a great basketball player
PersonX becomes a bad basketball player.,PersonX becomes a great basketball player
PersonX becomes a criminal.,PersonX becomes a lawyer
PersonX becomes an NBA player,PersonX becomes a lawyer
PersonX become a captain,PersonX becomes a pilot
PersonX becomes a ship captain.,PersonX becomes a pilot
PersonX becomes happy,PersonX becomes frustrated
PersonX remains calm,PersonX becomes frustrated
PersonX becomes bad,PersonX becomes great
PersonX becomes evil,PersonX becomes great
Person X become enemies,PersonX becomes great friends
PersonX becomes an enemy.,PersonX becomes great friends
PersonX starts to cry,PersonX becomes happy
PersonX becomes sad,PersonX becomes happy
PersonX becomes healthy,PersonX becomes ill
PersonX gets healthy.,PersonX becomes ill
PersonX becomes accepting,PersonX becomes intolerable
Person X adopts a friendly personality.,PersonX becomes intolerable
PersonX assists PersonY in life,PersonX becomes PersonY agent
PersonX gets fired by PersonY,PersonX becomes PersonY agent
PersonX ignores PersonY,PersonX becomes PersonY member
PersonX becomes excited,PersonX becomes scared
PersonX is secure.,PersonX becomes scared
PersonX becomes dumber.,PersonX becomes smarter
PersonX becomes very relaxed,PersonX becomes very frustrated
PersonX is feeling encouraged.,PersonX becomes very frustrated
PersonX becomes very sad,PersonX becomes very happy
PersonX is saddened.,PersonX becomes very happy
PersonX remains healthy in life,PersonX becomes very ill
PersonX stays healthy,PersonX becomes very ill
PersonX is enemies with PersonY.,PersonX befriends PersonY
PersonX antagonizes PersonY,PersonX befriends PersonY
PersonX begins laughing,PersonX begins crying
PersonX finishes school,PersonX begins school
PersonX finishes school.,PersonX begins school
PersonX begins to sleep,PersonX begins to bleed
PersonX is fasting.,PersonX begins to eat
PersonX finishes to eat it,PersonX begins to eat it
PersonX ignores my parents,PersonX begs my parents
PersonX rejects PersonX's parents for one,PersonX begs PersonX's parents for one
PersonX asks PersonX's parents for one,PersonX begs PersonX's parents for one
PersonX hugs PersonY,PersonX begs PersonY
PersonX politely asks PersonY.,PersonX begs PersonY
PersonX gives PersonY's parents permission,PersonX begs PersonY's parents
PersonX begs PersonY's children,PersonX begs PersonY's parents
PersonX gives PersonY's parents one,PersonX begs PersonY's parents for one
personx is an orphan,PersonX belongs to PersonX's father
PersonX belongs to themself.,PersonX belongs to PersonX's father
PersonX takes away from PersonY,PersonX bestows upon PersonY
PersonX keeps the object from PersonY,PersonX bestows upon PersonY
PersonX hates gambling,PersonX bets PersonY
PersonX uses a lot of nervous energy,PersonX bites PersonX's nails
PersonX bites PersonX's ears,PersonX bites PersonX's nails
PersonX keeps on going,PersonX bites the dust
PersonX lives.,PersonX bites the dust
PersonX bites PersonX's tongue,PersonX bits PersonX's lip
PersonX pops bubbles,PersonX blows bubbles
PersonX keeps PersonX's load,PersonX blows PersonX's load
PersonX preserves PersonX's load,PersonX blows PersonX's load
PersonX blows PersonX's cash,PersonX blows PersonX's wad
PersonX blows PersonX's candle,PersonX blows PersonX's wad
PersonX bores PersonY to death,PersonX blows PersonY's mind
PersonX bores PersonY's mind,PersonX blows PersonY's mind
PersonX blows stream,PersonX blows smoke
PersonX sucks in smoke,PersonX blows smoke
PersonX blows the tuba,PersonX blows the whistle
PersonX plays the sax,PersonX blows the whistle
PersonX walks up to the popsicle stand.,PersonX blows this popsicle stand
PersonX sucks this popsicle stand.,PersonX blows this popsicle stand
PersonX walks  through town,PersonX blows through town
PersonX goes slowly through town.,PersonX blows through town
PersonX stays away from PersonY's phone,PersonX blows up PersonY's phone
PersonX sells a ticket,PersonX books a ticket
PersonX borrows PersonY's bike,PersonX borrows PersonY's car
PersonX steals PersonsY's car,PersonX borrows PersonY's car
PersonX buys their own car.,PersonX borrows the car
PersonX loans out the car,PersonX borrows the car
PersonX makes their own thesis from scratch.,PersonX borrows this thesis for use
PersonX steals this thesis for use,PersonX borrows this thesis for use
PersonX manages PersonY around,PersonX bosses PersonY around
PersonX respects PersonY around,PersonX bosses PersonY around
PersonX bows PersonX's body,PersonX bows PersonX's heads
PersonX gets locked up,PersonX breaks free
