event,split,xAttr,xEffect,oEffect,xReact,oReact,xWant,oWant,xIntent,xNeed,original
PersonX is anti-social,trn,"[""anxious"", ""fearful"", ""cold"", ""standoffish"", ""reserved""]","[""loses friends"", ""becomes psychopath"", ""breaks the law"", ""gets left out""]","[""none""]","[""detached from others"", ""lonely"", ""alone""]","[""none""]","[""to stay alone"", ""to ignore people"", ""to go home and not talk to people"", ""to tell people to stop trying to force them to be social""]","[""none""]","[""none""]","[""none""]",PersonX wants to talk
PersonX calls PersonX's sister,trn,"[""for chatting"", ""going to outside"", ""reliant"", ""talkative""]","[""none"", ""socializes"", ""relays information""]","[""none"", ""gets informed"", ""appreciative""]","[""happy"", ""relieved"", ""king"", ""caring""]","[""none""]","[""go relax"", ""go out"", ""their sibling to be excited for them"", ""to feel connected to family""]","[""go back to work"", ""find something to do"", ""to express their excitement for Person X"", ""to be a good listener""]","[""to talk to them"", ""company"", ""none""]","[""none"", ""to have exciting news"", ""to want to share with their sibling""]",PersonX calls PersonX's brother
PersonX gives PersonY money.,trn,"[""generous"", ""philanthropic"", ""charitable"", ""loving""]","[""none"", ""gets a receipt"", ""receives a service""]","[""they can buy food"", ""they can buy a toy"", ""smiles"", ""trusts PersonX""]","[""glad"", ""nice"", ""aiding"", ""supportive""]","[""grateful"", ""loved"", ""thankful"", ""appreciative""]","[""TO HELP THEM"", ""TO BUY THEM FOOD"", ""to get repaid"", ""to see where their money went""]","[""none"", ""to prepay personx"", ""to hope personx will forget""]","[""to be a good person"", ""to help someone"", ""to help person y"", ""get closer to person y""]","[""none"", ""to grab the money"", ""to feel generous""]",PersonX robs PersonY
PersonY deflected PersonX's blow.,trn,"[""violent"", ""unskilled at fighting"", ""unskilled"", ""uncoordinated""]","[""none""]","[""none"", ""they are hit""]","[""sad"", ""worried"", ""safe"", ""happy""]","[""none""]","[""run away"", ""avoid y"", ""to try again"", ""to run away in shame""]","[""none"", ""to hit PersonX"", ""to know why PersonX punched them""]","[""none""]","[""none"", ""to be near PersonY"", ""to try to punch PersonY""]",PersonX hits PersonY's head
PersonX tells PersonY's roommate,trn,"[""talkative"", ""boastfukl"", ""sociable"", ""extroverted""]","[""gets scolded"", ""gets asked further questions"", ""none""]","[""gains knowledge"", ""gets hurt"", ""none""]","[""happy"", ""excited"", ""relieved"", ""guilty""]","[""none"", ""bad"", ""betrayed""]","[""receive a response"", ""apologize to personY"", ""keep talking to personY"", ""listen to personY""]","[""receive an explanation"", ""avoid sharing with personX"", ""listen to personX"", ""tell other people""]","[""none"", ""to inform the roommate"", ""to get PersonY in trouble""]","[""have something to tell"", ""contact the roommate"", ""have a roommate"", ""have something to say""]",PersonX asks PersonY's roommate
PersonX robs PersonY,trn,"[""desperate"", ""uncaring"", ""violent"", ""a criminal""]","[""gets arrested"", ""goes to jail"", ""gets in trouble"", ""gets sent to jail""]","[""gets injured"", ""gets justice"", ""loses items"", ""has a monetary loss""]","[""rich"", ""guilty"", ""ashamed""]","[""hurt"", ""in danger"", ""angry"", ""upset""]","[""to run away"", ""to avoid detection"", ""to be happy"", ""to live rich""]","[""to call the police"", ""to chase personX"", ""none""]","[""money"", ""to buy something they can't afford"", ""to steal money"", ""to get something for nothing""]","[""none""]",PersonX provides PersonY
PersonX saves PersonX's daughter,trn,"[""heroic"", ""protective"", ""brave"", ""valiant""]","[""gets thanked"", ""gets a hug"", ""got wounds"", ""put medicine""]","[""is safe"", ""gets scolded"", ""none""]","[""generous"", ""determined"", ""kid"", ""caring""]","[""none""]","[""to keep daughter safe"", ""tell daughter how to avoid not being safe"", ""hugs daughter in safety"", ""tells daughter to be more careful""]","[""none""]","[""none""]","[""none"", ""to find out daughter is in danger"", ""figure out where daughter is""]",PersonX kills PersonX's son
PersonX tells the kids to take out the trash,trn,"[""authoritative"", ""bossy"", ""responsible"", ""mean""]","[""gets insulted"", ""is refused"", ""none""]","[""think about the trash"", ""furrow brow"", ""gets dirty"", ""gets tired""]","[""relieved"", ""happy"", ""thankful"", ""fulfilled"", ""responsible""]","[""proud"", ""relief"", ""none""]","[""relax"", ""make sure the trash was taken out"", ""teach them"", ""to clean the house""]","[""to pick up the trash bag"", ""to take out the trash"", ""none""]","[""to clean up"", ""the trash out"", ""none""]","[""none""]",PersonX takes the trash
PersonX gets the clothes wet,trn,"[""careless"", ""absentminded"", ""soaked""]","[""walks around in drenched clothes"", ""dries their clothes"", ""gets in trouble"", ""gets cold""]","[""none""]","[""clumsy"", ""untidy"", ""cold"", ""careless""]","[""none""]","[""rewash the items"", ""finish the laundry"", ""to undress the clothes"", ""to wear new clothes""]","[""none""]","[""none""]","[""to be drying them in the sun"", ""to drop them in a puddle outside"", ""to play in the rain"", ""to get cold""]",PersonX dries the clothes
PersonX robs PersonY's money,trn,"[""sneaky"", ""dangerous"", ""criminal"", ""thuggish""]","[""gets arrested"", ""gets jailed"", ""Y accuses X of theft"", ""X is arrested""]","[""gets justice"", ""gets repayed"", ""They suffer a loss"", ""They are unable to pay their bills""]","[""thieving"", ""mischevious"", ""satisfied"", ""sly""]","[""annoyed"", ""depressed"", ""shocked"", ""upset""]","[""to fuel their drug addiction"", ""to hide their thievery"", ""to hide"", ""to escape""]","[""none"", ""to shout out for help"", ""to call police""]","[""cash"", ""to make person y suffer"", ""to get things for free"", ""get things without working for them""]","[""none"", ""to make a plan"", ""to find the victim""]",PersonX puts PersonY's money
PersonX takes my pen,trn,"[""abscond with"", ""carry off"", ""criminal"", ""thievish""]","[""gets hit"", ""gets yelled at"", ""none""]","[""gets stolen from"", ""can't write"", ""none""]","[""grateful for the use of the pen"", ""smug"", ""thankful"", ""grateful""]","[""irritated"", ""confused"", ""satisfied"", ""happy""]","[""to hold on to my pen so i dont loose it"", ""to sell the pen online to make some money"", ""to start writing again"", ""to finish their notes""]","[""none"", ""to reprimand person X"", ""to take the pen back""]","[""to write something down"", ""to be a rascal"", ""to write down"", ""to borrow a pen""]","[""none"", ""to see the pen"", ""to run out of ink""]",PersonX takes my son
PersonX kisses PersonY's finger.,trn,"[""affectionate"", ""lovey-dovey"", ""sweet"", ""loveable"", ""charming""]","[""becomes horny"", ""smiles"", ""none""]","[""becomes horny as well"", ""smiles back"", ""PersonY kisses back"", ""PersonY kisses a finger""]","[""loved"", ""excited"", ""happy"", ""satisfied""]","[""none""]","[""kiss personY's other finger"", ""talk to personY"", ""to convey the love"", ""to hug""]","[""walk away from PersonX"", ""stop talking to personX"", ""none""]","[""none""]","[""know personY"", ""want to kiss their finger"", ""to hold person y"", ""to grab person y's hand""]",PersonX bites PersonY's finger
PersonX works on the meal,trn,"[""hard-working"", ""skilled"", ""professional"", ""healthy"", ""friendly""]","[""to eat meals food"", ""buy a snacks"", ""gets hungry"", ""salivates""]","[""none""]","[""proud"", ""determined"", ""tired"", ""hungry""]","[""none""]","[""to set the table"", ""serve the food"", ""to make the meal look perfect"", ""to spend as much time as they can on the food""]","[""to eat the food"", ""thanks the cook"", ""none""]","[""to improve"", ""to keep busy"", ""to cook"", ""to make dinner""]","[""have a kitchen"", ""have food to make a meal with"", ""none""]",PersonX works on PersonY's car
PersonX betrays PersonY,trn,"[""disloyal"", ""vindictive"", ""crude"", ""cruel""]","[""yelled at"", ""screamed at"", ""none""]","[""screams"", ""yells"", ""none""]","[""guilty"", ""sad"", ""nervous""]","[""angry"", ""upset"", ""none""]","[""to be their own person"", ""do their own things"", ""distance themselves from Y"", ""explain themselves to others""]","[""an apology"", ""to know why personx did it"", ""to confront X"", ""to get justice against X""]","[""to join the other side"", ""to leave PersonY behind"", ""to express negative feelings"", ""to be forgetful""]","[""none"", ""to gain the confidence of Y"", ""to interpret Y's goals""]",PersonX serves PersonY faithfully
PersonX stays with PersonY there.,trn,"[""helpful"", ""loving"", ""consoling"", ""companionable"", ""loyal""]","[""gets to know PersonY"", ""becomes indebted"", ""is thanked"", ""gets a hug""]","[""gets thanked"", ""gets to know PersonX"", ""none""]","[""romantic"", ""like having dinner"", ""content"", ""helpful""]","[""none"", ""grateful"", ""glad""]","[""to spend more time with person y"", ""to kiss person y"", ""have kids"", ""get married""]","[""none""]","[""none"", ""to be sociable"", ""to be a good friend""]","[""person y to be lonley"", ""person y to ask person x to stay"", ""none""]",PersonX leaves PersonY there
PersonX steps away from PersonY.,trn,"[""non-confrontational"", ""respectful"", ""cold"", ""aloof"", ""respectful of others' space""]","[""avoids a fight"", ""is given a thank you"", ""is brought back in by PersonY"", ""is confronted""]","[""none"", ""gets offended"", ""loses confidence""]","[""wary"", ""careful"", ""relieved"", ""hurt""]","[""alienated"", ""spurned"", ""none""]","[""to be alone"", ""to do work hard"", ""to slap them"", ""to go away""]","[""none""]","[""to give person y space"", ""to get away from person y"", ""afraid"", ""scared""]","[""none""]",PersonX leans towards PersonY
PersonX wants to cook,trn,"[""interesting"", ""open"", ""Hungry"", ""Creative"", ""Skilled""]","[""gets praised"", ""gets thanked"", ""none""]","[""gets fed"", ""satisfies hunger"", ""none""]","[""satisfied"", ""not hungry"", ""proud"", ""sated""]","[""none""]","[""get out some pans"", ""prepare the ingredients"", ""to eat"", ""to enjoy the food""]","[""none""]","[""none"", ""to eat"", ""to follow a recipe""]","[""to go shopping"", ""find a recipe"", ""to buy grocery"", ""to know the reciepe""]",PersonX does not want to cook
PersonX photographs PersonY.,trn,"[""interested"", ""enamored"", ""helpful"", ""skillful""]","[""none"", ""glances at viewfinder"", ""looks at polaroid"", ""point camera away""]","[""y is thankful"", ""y dresses up"", ""relaxes smile"", ""approaches camera""]","[""successful"", ""happy"", ""artistic"", ""playful""]","[""joyous"", ""open"", ""happy"", ""joyful""]","[""to clarify the photo"", ""to improve the skills"", ""to keep memmories"", ""to make friends""]","[""none""]","[""to save the memory"", ""to practice"", ""to do something creative"", ""to capture a moment in time""]","[""none""]",PersonX paints PersonY picture
PersonX loves PersonY,trn,"[""caring"", ""content"", ""loving"", ""emotional"", ""devoted"", ""faithful"", ""cherishing"", ""enchanted"", ""affectionate"", ""compassionate"", ""expressive"", ""giving"", ""amorous"", ""warm"", ""enthralled"", ""adoring""]","[""none"", ""gets kissed"", ""gets hugged"", ""gets closer to PersonY"", ""gets let down"", ""cries in happiness"", ""smiles a lot"", ""is loved back"", ""is appreciated"", ""buys her presents"", ""proposes to y"", ""marries Y"", ""PROPOSES TO Y""]","[""none"", ""is showered with love"", ""is asked to get married"", ""smiles a lot"", ""also cries in happiness"", ""is grateful"", ""is happy"", ""Y is in love"", ""y turns down the proposal""]","[""happy"", ""satisfied"", ""loving"", ""caring"", ""loved"", ""cared for"", ""joyous"", ""uplifted"", ""enjoyment"", ""excited"", ""blissful"", ""responsible"", ""infatuated"", ""optimistic"", ""ecstatic"", ""Excited"", ""Content"", ""elated""]","[""none"", ""happy"", ""joyful"", ""valued"", ""prized"", ""love for PersonX"", ""excited for the future"", ""cared for"", ""grateful"", ""Thrilled"", ""Happy"", ""loved"", ""appreciated""]","[""to show their love"", ""be a good spouse"", ""see personY"", ""date personY"", ""to have a moment"", ""to marry her"", ""to share the gift"", ""to share good"", ""to gift her"", ""to marry PersonY"", ""to move in together"", ""be with personY"", ""take care of personY"", ""to develop romantic relationship"", ""to get married"", ""marry"", ""have kids"", ""to be loved back"", ""to be accepted"", ""to propose""]","[""to communicate their feelings"", ""Let them down gently"", ""to like personX"", ""to see personX"", ""none"", ""to be asked on a date"", ""to break up"", ""return the love"", ""commit to eachother"", ""to develop romantic relationship"", ""to get married"", ""to accept the propose""]","[""none"", ""to be closer to Y"", ""to feel loved""]","[""none"", ""meet"", ""like"", ""meet personY"", ""spend time with personY"", ""to meet PersonY"", ""to like PersonY"", ""get to know"", ""to meet with each other"", ""to get attracted with each other""]",PersonX bullies PersonY
PersonX boards the boat,trn,"[""adventerous"", ""independent"", ""adventurous"", ""careful""]","[""gets seasick"", ""has sealegs"", ""none""]","[""none""]","[""excited"", ""nervous"", ""happy"", ""adventurous""]","[""none""]","[""happy"", ""satisfied"", ""go boating again"", ""go home""]","[""none""]","[""to take a trip"", ""to go on vacation"", ""none""]","[""none"", ""arrive at the marina"", ""be invited""]",PersonX boards the train
PersonX sues PersonX's worker,trn,"[""litigious"", ""spiteful"", ""REQUESTED"", ""PLEADED""]","[""receives an order from the court"", ""gets sued back"", ""thinks about what the worker will do in response"", ""thinks about how much money will be won or lost""]","[""gets sued"", ""receives an order from the judge"", ""think about why they're being sued"", ""think about what lawyer to hire""]","[""powerful"", ""strong"", ""sad"", ""unexcited""]","[""wronged"", ""powerless"", ""weak"", ""none""]","[""to hide the truth"", ""to be more fun"", ""to get someone fired"", ""to get compensation""]","[""none"", ""to leave a company"", ""to avoid paying restitution""]","[""justice"", ""to prove"", ""none""]","[""none""]",PersonX sues PersonX's boss
PersonX stays away from PersonY's land.,trn,"[""bypassing"", ""shunning"", ""respectful"", ""law-abiding""]","[""none""]","[""none""]","[""safe"", ""independent"", ""curious"", ""determined""]","[""none"", ""grateful"", ""content""]","[""finds another way"", ""nothing - has no reason to be in the area"", ""to be home alone"", ""to develop his land""]","[""to keep their property safe"", ""to continue to monitor for tresspassers"", ""none""]","[""to stay safe"", ""to go somewhere else"", ""to respect PersonY"", ""to keep safe""]","[""to see the no trespassing signs"", ""nothing - has no reason to be in the area"", ""none""]",PersonX returns to PersonY's land
